
NO;ASPEK;KOMPONEN ASPEK;NAMA INDIKATOR;DESKRIPSI INDIKATOR;Pembilang;Penyebut;DEFAULT_BOBOT
1;EKSELENSI;REPUTASI AKADEMIK;Jumlah prodi terakreditasi internasional;"Prodi yang telah mendapatkan akreditasi ABET, IABEE, ASIIN dll sesuai dengan kepmendikbud no 83 tahun 2020. 
AUN-QA Tidak termasuk
";Jumlah prodi terakreditasi internasional;-;9
2;EKSELENSI;REPUTASI AKADEMIK;Rasio Jumlah Penelitian dengan Mitra dari PT Luar Negeri / Jumlah Dosen ;Jumlah judul penelitian dengan melibatkan peneliti dari universita mitra di luar negeri;Jumlah Penelitian dengan Mitra dari PT Luar Negeri;Jumlah Dosen;9
3;EKSELENSI;REPUTASI AKADEMIK;Rasio Jumlah Penelitian Kerjasama Internasional / Jumlah Dosen ;Jumlah judul penelitian yang dilakukan dengan mitra dari luar negeri dibagi jumlah dosen;Jumlah Penelitian Kerjasama Internasional;Jumlah Dosen;9
4;EKSELENSI;REPUTASI AKADEMIK;Rasio Jumlah Program Studi Terakreditasi A / Jumlah Program Studi;Jumlah program studi yang terakreditasi A oleh BAN-PT dibagi dengan jumlah program studi;Jumlah Program Studi Terakreditasi A;Jumlah Program Studi;9
5;EKSELENSI;REPUTASI AKADEMIK;Rasio Jumlah Publikasi di Jurnal Internasional Terindeks Scopus  atau minimum setara / Jumlah Dosen ;"Jurnal internasional adalah jurnal yang memenuhi kriteria sebagai berikut:
a. Karya ilmiah yang diterbitkan ditulis dengan memenuhi kaidah ilmiah dan etika keilmuan;
b. Memiliki ISSN;
c. Ditulis dengan menggunakan bahasa resmi PBB (Arab, Inggris, Perancis, Rusia, Spanyol dan
Tiongkok);
d. Memiliki terbitan versi daring (online);
e. Dewan Redaksi (Editorial Board) adalah pakar di bidangnya paling sedikit berasal dari 4 (empat)
negara;
f. Artikel Ilmiah yang diterbitkan dalam 1 (satu) nomor terbitan paling sedikit penulisnya berasal dari
2 (dua) negara; dan
g. Terindeks oleh database internasional: Web of Science, Scopus, Microsoft Academic Search.";Jumlah Publikasi di Jurnal Internasional Terindeks Scopus atau minimum setara;Jumlah Dosen;9
6;EKSELENSI;REPUTASI AKADEMIK;Rasio Jumlah Publikasi di Jurnal Internasional Terindeks Scopus  atau minimum setara sebagai penulis pertama atau corresponding author / Jumlah Dosen ;"Jurnal internasional adalah jurnal yang memenuhi kriteria sebagai berikut:
a.Karya ilmiah yang diterbitkan ditulis dengan memenuhi kaidah ilmiah dan etika keilmuan; 
b.Memiliki ISSN; 
c.Ditulis dengan menggunakan bahasa resmi PBB (Arab, Inggris, Perancis, Rusia, Spanyol dan Tiongkok); 
d.Memiliki terbitan versi daring (online); 
e.Dewan Redaksi (Editorial Board) adalah pakar di bidangnya paling sedikit berasal dari 4 (empat) negara; 
f .Artikel Ilmiah yang diterbitkan dalam 1 (satu) nomor terbitan paling sedikit penulisnya berasal dari 2 (dua) negara; dan 
g.Terindeks oleh database internasional: Web of Science, Scopus, Microsoft Academic Search.
Jumlah Dosen adalah dosen keseluruhan di departemennya termasuk yang sedang Tugas Belajar, Ijin Belajar, Menjabat di tempat lain dll.


";Jumlah Publikasi di Jurnal Internasional Terindeks Scopus atau minimum setara sebagai penulis pertama atau corresponding author;Jumlah Dosen;9
7;EKSELENSI;REPUTASI AKADEMIK;Rasio Jumlah Publikasi Internasional Terindeks Scopus atau minimum setara / Jumlah Dosen;"Publikasi internasional adalah hasil penelitian yang dimuat dalam jurnal ilmiah internasional atau prosiding yang memiliki International Standard Serial Number (ISSN) dan/atau buku yang telah diterbitkan oleh perguruan tinggi atau penerbit lainnya dan memiliki International Standard Book Number (ISBN).
Jumlah Dosen adalah dosen keseluruhan di departemennya termasuk yang sedang Tugas Belajar, Ijin Belajar, Menjabat di tempat lain dll.

";Jumlah Publikasi Internasional Terindeks Scopus atau minimum setara;Jumlah Dosen;9
8;EKSELENSI;REPUTASI AKADEMIK;Rasio Jumlah Publikasi Internasional Terindeks Scopus kumulatif / Jumlah Dosen;"Publikasi internasional adalah hasil penelitian yang dimuat dalam jurnal ilmiah internasional atau prosiding yang memiliki International Standard Serial Number (ISSN) dan/atau buku yang telah diterbitkan oleh perguruan tinggi atau penerbit lainnya dan memiliki International Standard Book Number (ISBN).
Jumlah Dosen adalah dosen keseluruhan di departemennya termasuk yang sedang Tugas Belajar, Ijin Belajar, Menjabat di tempat lain dll.

";Jumlah Publikasi Internasional Terindeks Scopus kumulatif;Jumlah Dosen;9
9;EKSELENSI;REPUTASI AKADEMIK;Rasio Jumlah Sitasi dari Publikasi Internasional Terindeks Scopus kumulatif / Jumlah Dosen;Jumlah sitasi Scopus diambil dari SINTA.;Jumlah Sitasi dari Publikasi Internasional Terindeks Scopus kumulatif;Jumlah Dosen;9
10;EKSELENSI;REPUTASI AKADEMIK;Rasio Total Nilai H-index Scopus Dosen / Jumlah Dosen;H-Index Scopus diambil dari SINTA.;Total Nilai H-index Scopus Dosen;Jumlah Dosen;9
